x,y,z
1.10479,0.30674,0.860349
1.10063,0.311107,0.86242
1.09651,0.314892,0.864275
1.09242,0.318783,0.866426
1.08895,0.325156,0.867373
1.08545,0.328713,0.868299
1.0815,0.333122,0.868362
1.07831,0.336454,0.868623
1.0757,0.342392,0.869099
1.07201,0.347548,0.86719
1.06994,0.351107,0.865058
1.06697,0.355572,0.864065
1.06413,0.360602,0.862923
1.06065,0.364657,0.862829
1.05757,0.370184,0.861943
1.05381,0.375615,0.862264
1.05075,0.379085,0.862615
1.04658,0.381502,0.864108
1.04367,0.384921,0.864618
1.04124,0.387531,0.865284
1.03944,0.393161,0.865772
1.03682,0.396011,0.866223
1.03446,0.398234,0.867116
1.03292,0.400965,0.867536
1.03069,0.40516,0.867513
1.0276,0.408965,0.864673
1.02543,0.410675,0.863313
1.02297,0.41374,0.862437
1.01982,0.41766,0.861443
1.01871,0.421989,0.857422
1.01707,0.424455,0.854143
1.01485,0.428753,0.85263
1.01308,0.433503,0.850286
1.01143,0.436697,0.84795
1.00851,0.440374,0.843343
1.00712,0.442783,0.839063
1.00605,0.445749,0.836537
1.00525,0.447297,0.835129
1.00428,0.44916,0.833424
1.0036,0.450638,0.831914
1.00324,0.4523,0.827987
1.00167,0.456105,0.825889
1.00103,0.457809,0.823649
0.999869,0.459946,0.822501
0.998711,0.462001,0.821832
0.997861,0.46304,0.820659
0.996474,0.464804,0.820079
0.997396,0.466925,0.819559
0.995807,0.469778,0.818303
0.993916,0.472282,0.815874
0.991754,0.47281,0.813168
0.991024,0.473253,0.811839
0.993509,0.472029,0.811307
0.99558,0.473252,0.810122
0.996451,0.473125,0.809
0.9972,0.473416,0.807773
0.997984,0.474969,0.805946
1.26696,0.208148,0.852937
1.26696,0.208148,0.852937
1.26261,0.211773,0.855828
1.25924,0.216974,0.855936
1.25371,0.220471,0.859491
1.25035,0.223086,0.862591
1.24702,0.226383,0.864417
1.24355,0.229326,0.865274
1.23871,0.23364,0.86855
1.23222,0.237142,0.870847
1.22712,0.240501,0.872248
1.22319,0.243573,0.873065
1.22006,0.245859,0.872912
1.21608,0.24924,0.873241
1.21264,0.251839,0.874669
1.20814,0.254484,0.876666
1.20328,0.258422,0.877046
1.19787,0.261365,0.877745
1.19334,0.265483,0.880566
1.18671,0.270536,0.883671
1.18077,0.27546,0.884808
1.1748,0.280615,0.885669
1.16821,0.284555,0.886519
1.16257,0.288319,0.887252
1.157,0.291289,0.888874
1.15226,0.297692,0.888695
1.14771,0.302798,0.888885
1.14343,0.306871,0.888027
1.14034,0.311458,0.887008
1.13677,0.315346,0.886693
1.13246,0.318333,0.886768
1.12901,0.322259,0.886408
1.12524,0.325438,0.885613
1.12213,0.329024,0.886059
1.1175,0.332447,0.884831
1.11417,0.337194,0.883242
1.11079,0.340178,0.881737
1.10773,0.343045,0.880233
1.10584,0.346813,0.879115
1.10307,0.350784,0.877511
1.10019,0.354752,0.876013
1.09708,0.357739,0.875061
1.09381,0.361366,0.873957
1.08994,0.366491,0.871409
1.0853,0.371167,0.868126
1.08187,0.37552,0.866829
1.07972,0.379406,0.866082
1.07859,0.38284,0.862182
1.07559,0.385928,0.859253
1.07045,0.389848,0.857881
1.06741,0.393228,0.856403
1.06639,0.397634,0.854593
1.0634,0.40279,0.854849
1.05969,0.40715,0.853096
1.05635,0.411297,0.850369
1.05337,0.415318,0.849714
1.05036,0.418714,0.849477
1.04784,0.422231,0.849768
1.04475,0.426424,0.849421
1.04307,0.430761,0.847899
1.04211,0.434164,0.845303
1.04006,0.438237,0.844086
1.03753,0.440767,0.843262
1.03571,0.444149,0.843183
1.03371,0.447103,0.843579
1.02994,0.450823,0.842253
1.02758,0.455941,0.840625
1.02477,0.460746,0.839778
1.02264,0.463928,0.840137
1.01902,0.466934,0.837116
1.01628,0.469568,0.834209
1.01511,0.47203,0.833415
1.0139,0.474522,0.831807
1.01257,0.477296,0.831282
1.01069,0.478104,0.831186
1.00899,0.479555,0.829589
1.00846,0.480085,0.827836
1.00724,0.480118,0.825458
1.00442,0.481647,0.822246
1.00351,0.484231,0.820221
1.00339,0.485476,0.819319
1.00264,0.485463,0.817755
1.00217,0.485145,0.815112
1.00088,0.485362,0.812743
1.00329,0.482551,0.812122
1.00558,0.480624,0.811438
1.00641,0.479304,0.81094
1.00746,0.478056,0.810573
1.009,0.476624,0.810802
1.00822,0.475495,0.81061
1.28207,0.181612,0.80016
1.28207,0.181612,0.80016
1.27971,0.18337,0.800059
1.27794,0.186812,0.801156
1.27609,0.189611,0.803665
1.27222,0.191512,0.805464
1.26806,0.195215,0.805824
1.26445,0.201569,0.806304
1.25903,0.205223,0.808203
1.25299,0.207782,0.811547
1.24807,0.212641,0.813254
1.24322,0.218406,0.815307
1.23806,0.222519,0.81825
1.23367,0.22656,0.820177
1.22923,0.231293,0.822401
1.22463,0.235807,0.824852
1.22007,0.238214,0.82654
1.21489,0.242332,0.829
1.20851,0.248098,0.830611
1.20195,0.251497,0.833211
1.19558,0.255241,0.836821
1.18916,0.25919,0.839509
1.18291,0.26566,0.842687
1.17695,0.272556,0.844335
1.17161,0.27754,0.846358
1.1643,0.282303,0.848156
1.15877,0.289243,0.846602
1.15449,0.291868,0.84706
1.1503,0.300865,0.847074
1.14612,0.30588,0.847225
1.14094,0.310585,0.847023
1.13726,0.315603,0.846672
1.13346,0.32085,0.848488
1.13022,0.324365,0.850171
1.12665,0.329085,0.85101
1.12221,0.333284,0.852348
1.11816,0.337615,0.854941
1.11286,0.344223,0.856204
1.10934,0.347821,0.8572
1.10518,0.351695,0.857912
1.10098,0.357296,0.859938
1.09599,0.363957,0.861788
1.09246,0.369422,0.863431
1.08931,0.374738,0.865027
1.08541,0.379252,0.866471
1.08064,0.385711,0.866996
1.07589,0.390517,0.867596
1.07174,0.395364,0.86949
1.06824,0.399298,0.87079
1.06519,0.401635,0.870701
1.0612,0.407035,0.869388
1.05726,0.411468,0.86877
1.05307,0.416263,0.868223
1.04942,0.420574,0.868405
1.04646,0.425165,0.866239
1.04222,0.430174,0.865114
1.03799,0.433269,0.862391
1.03447,0.438974,0.859236
1.03038,0.443631,0.857788
1.02641,0.446208,0.856674
1.02351,0.448955,0.853287
1.02094,0.452513,0.850792
1.01799,0.455104,0.847709
1.01549,0.459063,0.846118
1.01297,0.4613,0.843018
1.00953,0.463193,0.839634
1.00865,0.466477,0.835017
1.00826,0.468342,0.832759
1.00669,0.471548,0.828428
1.00409,0.472957,0.82564
1.00159,0.474142,0.822293
0.999879,0.475822,0.818366
0.997498,0.477175,0.815919
0.996092,0.479081,0.813736
1.00117,0.477008,0.813882
1.00248,0.476291,0.814466
1.00347,0.477163,0.81253
1.00314,0.477681,0.811405
1.0036,0.478405,0.809996
1.00479,0.478236,0.810103
1.00442,0.478685,0.809711
